invoice_id,order_id,invoice_date,due_date,invoice_amount,paid_amount,customer_name,service_station_code
INV00001,ORD00334,2026-06-18,2026-07-18,43567.02,0.0,Demo Customer 079,SS007
INV00002,ORD00278,2026-06-04,2026-05-01,43731.87,4373.19,Demo Customer 046,SS003
INV00003,ORD00123,2026-04-15,2026-06-27,3263.05,3263.05,Demo Customer 033,SS016
INV00004,ORD00124,2026-06-17,2026-03-21,73777.74,25822.21,Demo Customer 021,SS016
INV00005,ORD00079,2026-06-20,2026-07-20,25823.69,25823.69,Demo Customer 017,SS002
INV00006,ORD00351,2026-06-04,2026-05-09,13607.59,0.0,Demo Customer 074,SS009
INV00007,ORD00025,2026-05-05,2026-05-23,30285.44,10599.9,Demo Customer 071,SS017
INV00008,ORD00091,2026-06-13,2026-04-29,26519.8,0.0,Demo Customer 047,SS015
INV00009,ORD00177,2026-05-29,2026-05-20,61704.36,6170.44,Demo Customer 060,SS023
INV00010,ORD00019,2026-05-20,2026-07-12,57298.94,57298.94,Demo Customer 017,SS016
INV00011,ORD00203,2026-05-25,2026-05-24,41590.1,0.0,Demo Customer 027,SS017
INV00012,ORD00307,2026-05-07,2026-05-26,43527.86,26116.72,Demo Customer 038,SS012
INV00013,ORD00027,2026-03-28,2026-04-24,6454.79,645.48,Demo Customer 036,SS018
INV00014,ORD00185,2026-06-16,2026-03-06,14808.45,8885.07,Demo Customer 089,SS006
INV00015,ORD00217,2026-05-12,2026-03-06,51743.68,18110.29,Demo Customer 058,SS001
INV00016,ORD00220,2026-04-07,2026-06-12,80297.28,0.0,Demo Customer 028,SS026
INV00017,ORD00298,2026-05-23,2026-06-22,52812.58,52812.58,Demo Customer 057,SS009
INV00018,ORD00121,2026-05-14,2026-07-04,61978.23,61978.23,Demo Customer 044,SS020
INV00019,ORD00138,2026-05-20,2026-06-19,23398.21,11699.1,Demo Customer 018,SS021
INV00020,ORD00028,2026-05-14,2026-07-02,9839.43,0.0,Demo Customer 041,SS027
INV00021,ORD00239,2026-06-07,2026-08-06,42588.54,0.0,Demo Customer 018,SS015
INV00022,ORD00084,2026-06-03,2026-04-15,48615.61,4861.56,Demo Customer 081,SS026
INV00023,ORD00026,2026-05-18,2026-06-18,3266.02,3266.02,Demo Customer 013,SS028
INV00024,ORD00087,2026-05-08,2026-03-04,74442.09,0.0,Demo Customer 046,SS030
INV00025,ORD00280,2026-06-14,2026-07-14,33190.32,8297.58,Demo Customer 062,SS017
INV00026,ORD00030,2026-05-18,2026-07-02,81119.57,0.0,Demo Customer 081,SS015
INV00027,ORD00309,2026-04-22,2026-06-07,80499.52,80499.52,Demo Customer 053,SS001
INV00028,ORD00053,2026-05-08,2026-06-12,56337.25,14084.31,Demo Customer 074,SS009
INV00029,ORD00024,2026-06-15,2026-03-09,63722.21,6372.22,Demo Customer 037,SS008
INV00030,ORD00293,2026-06-15,2026-07-15,35918.3,17959.15,Demo Customer 064,SS016
INV00031,ORD00249,2026-06-13,2026-07-07,26508.44,21206.75,Demo Customer 079,SS001
INV00032,ORD00136,2026-05-20,2026-07-04,43783.9,0.0,Demo Customer 045,SS001
INV00033,ORD00144,2026-05-06,2026-06-22,68663.47,54930.78,Demo Customer 074,SS003
INV00034,ORD00106,2026-06-19,2026-05-23,32205.18,0.0,Demo Customer 072,SS004
INV00035,ORD00073,2026-05-14,2026-07-13,50121.92,50121.92,Demo Customer 060,SS023
INV00036,ORD00173,2026-04-05,2026-05-05,18945.03,1894.5,Demo Customer 025,SS002
INV00037,ORD00107,2026-06-06,2026-04-05,29098.01,10184.3,Demo Customer 031,SS014
INV00038,ORD00157,2026-06-06,2026-05-04,59564.84,0.0,Demo Customer 063,SS030
INV00039,ORD00133,2026-06-04,2026-08-03,91891.91,0.0,Demo Customer 074,SS015
INV00040,ORD00092,2026-04-20,2026-05-31,57562.03,0.0,Demo Customer 080,SS004
INV00041,ORD00018,2026-04-12,2026-07-05,51155.75,12788.94,Demo Customer 064,SS009
INV00042,ORD00078,2026-06-17,2026-05-22,25233.0,2523.3,Demo Customer 039,SS013
INV00043,ORD00151,2026-04-22,2026-04-12,7178.43,4307.06,Demo Customer 024,SS022
INV00044,ORD00125,2026-05-28,2026-07-01,13883.5,13883.5,Demo Customer 048,SS003
INV00045,ORD00146,2026-05-31,2026-07-30,18201.26,0.0,Demo Customer 062,SS017
INV00046,ORD00072,2026-05-14,2026-07-02,75966.5,18991.62,Demo Customer 056,SS003
INV00047,ORD00215,2026-06-16,2026-07-16,1807.28,0.0,Demo Customer 040,SS011
INV00048,ORD00002,2026-05-02,2026-03-27,55160.52,19306.18,Demo Customer 035,SS006
INV00049,ORD00095,2026-04-21,2026-03-26,82894.64,29013.12,Demo Customer 034,SS001
INV00050,ORD00164,2026-06-04,2026-07-04,28822.33,7205.58,Demo Customer 011,SS027
INV00051,ORD00221,2026-06-08,2026-07-09,24626.12,12313.06,Demo Customer 011,SS009
INV00052,ORD00168,2026-06-01,2026-05-06,33604.25,0.0,Demo Customer 008,SS002
INV00053,ORD00089,2026-06-12,2026-04-08,18901.87,0.0,Demo Customer 044,SS029
INV00054,ORD00320,2026-06-15,2026-05-26,74221.77,44533.06,Demo Customer 040,SS027
INV00055,ORD00057,2026-05-09,2026-06-08,24908.86,24908.86,Demo Customer 032,SS027
INV00056,ORD00051,2026-06-05,2026-07-05,1752.08,438.02,Demo Customer 051,SS016
INV00057,ORD00257,2026-06-11,2026-05-14,39760.05,3976.01,Demo Customer 034,SS008
INV00058,ORD00255,2026-04-07,2026-06-21,38980.04,0.0,Demo Customer 043,SS023
INV00059,ORD00088,2026-06-13,2026-04-11,57108.5,0.0,Demo Customer 063,SS027
INV00060,ORD00035,2026-06-15,2026-07-15,29277.4,14638.7,Demo Customer 011,SS024
INV00061,ORD00190,2026-06-19,2026-03-31,6761.83,2366.64,Demo Customer 005,SS016
INV00062,ORD00282,2026-05-09,2026-07-08,14633.87,7316.94,Demo Customer 045,SS005
INV00063,ORD00319,2026-06-11,2026-05-22,24261.1,14556.66,Demo Customer 067,SS001
INV00064,ORD00191,2026-06-08,2026-06-28,27602.3,27602.3,Demo Customer 020,SS006
INV00065,ORD00210,2026-04-12,2026-06-01,63493.31,22222.66,Demo Customer 078,SS018
INV00066,ORD00043,2026-04-15,2026-04-14,64519.61,38711.77,Demo Customer 052,SS016
INV00067,ORD00238,2026-06-04,2026-06-26,57388.53,0.0,Demo Customer 028,SS017
INV00068,ORD00015,2026-05-24,2026-05-12,29648.39,10376.94,Demo Customer 046,SS028
INV00069,ORD00096,2026-05-21,2026-04-17,23905.42,2390.54,Demo Customer 021,SS010
INV00070,ORD00036,2026-04-20,2026-05-15,10202.04,1020.2,Demo Customer 055,SS013
INV00071,ORD00311,2026-04-24,2026-05-19,82928.69,49757.21,Demo Customer 047,SS008
INV00072,ORD00342,2026-05-03,2026-06-13,44892.05,0.0,Demo Customer 013,SS004
INV00073,ORD00179,2026-05-17,2026-04-08,16319.18,1631.92,Demo Customer 074,SS022
INV00074,ORD00061,2026-06-13,2026-07-28,45665.64,11416.41,Demo Customer 036,SS015
INV00075,ORD00262,2026-05-01,2026-04-09,53647.6,0.0,Demo Customer 032,SS014
