order_id,order_date,order_type,business_line,product_group,service_station_code,service_station_name,channel,order_status,settlement_status,order_amount,sales_account
ORD00001,2026-04-11,M,SMB,40,SS014,Demo Service Station 014,APOS,pending,not_applied,18462.44,Sales Account 02
ORD00002,2026-04-26,M,SMB,54,SS006,Demo Service Station 006,Offline,cancelled,settled,72264.71,Sales Account 25
ORD00003,2026-05-27,M,SMB,54,SS013,Demo Service Station 013,Partner,cancelled,not_applied,10860.7,Sales Account 27
ORD00004,2026-05-25,F,SMB,40,SS023,Demo Service Station 023,Offline,completed,applied,78986.57,Sales Account 23
ORD00005,2026-04-16,F,SMB,40,SS006,Demo Service Station 006,APOS,cancelled,settled,41193.98,Sales Account 18
ORD00006,2026-04-11,M,SMB,40,SS021,Demo Service Station 021,APOS,completed,settled,77216.55,Sales Account 20
ORD00007,2026-05-05,M,CON,40,SS006,Demo Service Station 006,Offline,cancelled,settled,45250.1,Sales Account 14
ORD00008,2026-04-20,M,SMB,40,SS017,Demo Service Station 017,Offline,completed,applied,33457.39,Sales Account 02
ORD00009,2026-06-01,F,CON,54,SS027,Demo Service Station 027,Offline,pending,not_applied,56196.48,Sales Account 05
ORD00010,2026-05-08,M,SMB,54,SS014,Demo Service Station 014,Offline,completed,applied,59153.08,Sales Account 15
ORD00011,2026-04-24,M,SMB,40,SS009,Demo Service Station 009,APOS,pending,applied,32357.23,Sales Account 27
ORD00012,2026-04-26,M,CON,40,SS011,Demo Service Station 011,Partner,completed,settled,12446.19,Sales Account 09
ORD00013,2026-05-12,F,SMB,54,SS024,Demo Service Station 024,Offline,completed,settled,77335.63,Sales Account 04
ORD00014,2026-06-03,M,SMB,40,SS006,Demo Service Station 006,Partner,completed,settled,34826.35,Sales Account 23
ORD00015,2026-05-18,M,SMB,40,SS028,Demo Service Station 028,Partner,completed,not_applied,40704.02,Sales Account 26
ORD00016,2026-05-31,M,SMB,54,SS023,Demo Service Station 023,Offline,completed,not_applied,14606.92,Sales Account 06
ORD00017,2026-04-24,F,CON,54,SS001,Demo Service Station 001,APOS,completed,not_applied,84738.99,Sales Account 07
ORD00018,2026-04-06,F,SMB,40,SS009,Demo Service Station 009,Offline,completed,settled,56955.62,Sales Account 14
